関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_ars_fn,Create adaptive routing and switching object,ars_id,sai_object_id_t *,出力,Adaptive routing and switching id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_ars_fn,Remove adaptive routing and switching object,ars_id,sai_object_id_t,入力,Adaptive routing and switching id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_ars_attribute_fn,Set Adaptive routing and switching attribute,ars_id,sai_object_id_t,入力,Adaptive routing and switching id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_ars_attribute_fn,Get Adaptive routing and switching attribute,ars_id,sai_object_id_t,入力,Adaptive routing and switching id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

