関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_ars_profile_fn,Create ARS Profile,ars_profile_id,sai_object_id_t *,出力,ARS Profile Id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_ars_profile_fn,Remove ARS Profile,ars_profile_id,sai_object_id_t,入力,ARS Profile id to be removed.,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_ars_profile_attribute_fn,Set attributes for ARS profile,ars_profile_id,sai_object_id_t,入力,ARS Profile Id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_ars_profile_attribute_fn,Get attributes of ARS profile,ars_profile_id,sai_object_id_t,入力,ARS Profile id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

