関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_ingress_priority_group_fn,Create ingress priority group,ingress_priority_group_id,sai_object_id_t *,出力,Ingress priority group,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_ingress_priority_group_fn,Remove ingress priority group,ingress_priority_group_id,sai_object_id_t,入力,Ingress priority group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_ingress_priority_group_attribute_fn,Set ingress priority group attribute,ingress_priority_group_id,sai_object_id_t,入力,Ingress priority group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_ingress_priority_group_attribute_fn,Get ingress priority group attributes,ingress_priority_group_id,sai_object_id_t,入力,Ingress priority group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_ingress_priority_group_stats_fn,Get ingress priority group statistics counters. Deprecated for backward compatibility.,ingress_priority_group_id,sai_object_id_t,入力,Ingress priority group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_ingress_priority_group_stats_ext_fn,Get ingress priority group statistics counters extended.,ingress_priority_group_id,sai_object_id_t,入力,Ingress priority group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_ingress_priority_group_stats_fn,Clear ingress priority group statistics counters.,ingress_priority_group_id,sai_object_id_t,入力,Ingress priority group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_buffer_pool_fn,Create buffer pool,buffer_pool_id,sai_object_id_t *,出力,Buffer pool id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_buffer_pool_fn,Remove buffer pool,buffer_pool_id,sai_object_id_t,入力,Buffer pool id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_buffer_pool_attribute_fn,Set buffer pool attribute,buffer_pool_id,sai_object_id_t,入力,Buffer pool id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_buffer_pool_attribute_fn,Get buffer pool attributes,buffer_pool_id,sai_object_id_t,入力,Buffer pool id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_buffer_pool_stats_fn,Get buffer pool statistics counters. Deprecated for backward compatibility.,buffer_pool_id,sai_object_id_t,入力,Buffer pool id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_buffer_pool_stats_ext_fn,Get buffer pool statistics counters extended.,buffer_pool_id,sai_object_id_t,入力,Buffer pool id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_buffer_pool_stats_fn,Clear buffer pool statistics counters.,buffer_pool_id,sai_object_id_t,入力,Buffer pool id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_buffer_profile_fn,Create buffer profile,buffer_profile_id,sai_object_id_t *,出力,Buffer profile id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_buffer_profile_fn,Remove buffer profile,buffer_profile_id,sai_object_id_t,入力,Buffer profile id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_buffer_profile_attribute_fn,Set buffer profile attribute,buffer_profile_id,sai_object_id_t,入力,Buffer profile id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_buffer_profile_attribute_fn,Get buffer profile attributes,buffer_profile_id,sai_object_id_t,入力,Buffer profile id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

