関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_debug_counter_fn,Create debug counter,debug_counter_id,sai_object_id_t *,出力,Debug counter id,`SAI_STATUS_SUCCESS` on success
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_debug_counter_fn,Remove debug counter,debug_counter_id,sai_object_id_t,入力,Debug counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_debug_counter_attribute_fn,Set debug counter attribute Value,debug_counter_id,sai_object_id_t,入力,Debug counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_debug_counter_attribute_fn,Get debug counter attribute Value,debug_counter_id,sai_object_id_t,入力,Debug counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

