関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_generic_programmable_fn,Create a Generic programmable entry,generic_programmable_id,sai_object_id_t *,出力,The OID returned per entry per HW block,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The Switch Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_generic_programmable_fn,Delete a Generic programmable entry,generic_programmable_id,sai_object_id_t,入力,The table id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_generic_programmable_attribute_fn,Set Generic programmable Table entry attribute,generic_programmable_id,sai_object_id_t,入力,The table id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_generic_programmable_attribute_fn,Get Generic programmable entry attribute,generic_programmable_id,sai_object_id_t,入力,The table id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

