関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_fine_grained_hash_field_fn,Create fine-grained hash field,fine_grained_hash_field_id,sai_object_id_t *,出力,Fine-grained hash field id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_fine_grained_hash_field_fn,Remove fine-grained hash field,fine_grained_hash_field_id,sai_object_id_t,入力,Fine-grained hash field id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_fine_grained_hash_field_attribute_fn,Set fine-grained hash field attribute,fine_grained_hash_field_id,sai_object_id_t,入力,Fine-grained hash field id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_fine_grained_hash_field_attribute_fn,Get fine-grained hash field attribute value,fine_grained_hash_field_id,sai_object_id_t,入力,Fine-grained hash field id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_hash_fn,Create hash,hash_id,sai_object_id_t *,出力,Hash id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_hash_fn,Remove hash,hash_id,sai_object_id_t,入力,Hash id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_hash_attribute_fn,Set hash attribute,hash_id,sai_object_id_t,入力,Hash id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_hash_attribute_fn,Get hash attribute value,hash_id,sai_object_id_t,入力,Hash id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

