関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_ipmc_entry_fn,Create IPMC entry,ipmc_entry,sai_ipmc_entry_t *,入力,IPMC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_ipmc_entry_fn,Remove IPMC entry,ipmc_entry,sai_ipmc_entry_t *,入力,IPMC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_ipmc_entry_attribute_fn,Set IPMC entry attribute value,ipmc_entry,sai_ipmc_entry_t *,入力,IPMC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_ipmc_entry_attribute_fn,Get IPMC entry attribute value,ipmc_entry,sai_ipmc_entry_t *,入力,IPMC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

