関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_isolation_group_fn,Create isolation group,isolation_group_id,sai_object_id_t *,出力,Isolation group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_isolation_group_fn,Remove isolation group,isolation_group_id,sai_object_id_t,入力,Isolation group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_isolation_group_attribute_fn,Set isolation group attribute,isolation_group_id,sai_object_id_t,入力,Isolation group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_isolation_group_attribute_fn,Get isolation group attribute,isolation_group_id,sai_object_id_t,入力,Isolation group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_isolation_group_member_fn,Create isolation group member,isolation_group_member_id,sai_object_id_t *,出力,Isolation group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_isolation_group_member_fn,Remove isolation group member,isolation_group_member_id,sai_object_id_t,入力,Isolation group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_isolation_group_member_attribute_fn,Set isolation group member attribute,isolation_group_member_id,sai_object_id_t,入力,Isolation group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_isolation_group_member_attribute_fn,Get isolation group member attribute,isolation_group_member_id,sai_object_id_t,入力,Isolation group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

