関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_macsec_fn,Create a MACsec object,macsec_id,sai_object_id_t *,出力,The MACsec object id associated with this switch/PHY,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The switch/PHY Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_macsec_fn,Delete the MACsec object,macsec_id,sai_object_id_t,入力,The MACsec object id associated with this switch/PHY,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_macsec_attribute_fn,Set MACsec attribute,macsec_id,sai_object_id_t,入力,The MACsec object id associated with this switch/PHY,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_macsec_attribute_fn,Get MACsec attribute,macsec_id,sai_object_id_t,入力,The MACsec object id associated with this switch/PHY,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_macsec_port_fn,Create a MACsec port,macsec_port_id,sai_object_id_t *,出力,The MACsec port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The switch/PHY Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_macsec_port_fn,Delete a MACsec port,macsec_port_id,sai_object_id_t,入力,The MACsec port id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_macsec_port_attribute_fn,Set MACsec port attribute,macsec_port_id,sai_object_id_t,入力,The MACsec port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_macsec_port_attribute_fn,Get MACsec port attribute,macsec_port_id,sai_object_id_t,入力,MACsec port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_macsec_port_stats_fn,Get MACsec port counters,macsec_port_id,sai_object_id_t,入力,MACsec port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_macsec_port_stats_ext_fn,Get MACsec port counters extended,macsec_port_id,sai_object_id_t,入力,MACsec port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Should match SAI_MACSEC_ATTR_STATS_MODE,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_macsec_port_stats_fn,Clear MACsec port counters,macsec_port_id,sai_object_id_t,入力,MACsec port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_macsec_flow_fn,Create a MACsec flow,macsec_flow_id,sai_object_id_t *,出力,The MACsec flow id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The switch/PHY Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_macsec_flow_fn,Delete a MACsec flow,macsec_flow_id,sai_object_id_t,入力,The MACsec flow id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_macsec_flow_attribute_fn,Set MACsec flow attribute,macsec_flow_id,sai_object_id_t,入力,The MACsec flow id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_macsec_flow_attribute_fn,Get MACsec flow attribute,macsec_flow_id,sai_object_id_t,入力,MACsec flow id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_macsec_flow_stats_fn,Get MACsec flow counters,macsec_flow_id,sai_object_id_t,入力,MACsec flow id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_macsec_flow_stats_ext_fn,Get MACsec flow counters extended,macsec_flow_id,sai_object_id_t,入力,MACsec flow id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Should match SAI_MACSEC_ATTR_STATS_MODE,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_macsec_flow_stats_fn,Clear MACsec flow counters,macsec_flow_id,sai_object_id_t,入力,MACsec flow id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_macsec_sc_fn,Create a MACsec Secure Channel,macsec_sc_id,sai_object_id_t *,出力,The MACsec Secure Channel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The switch/PHY Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_macsec_sc_fn,Delete a MACsec Secure Channel,macsec_sc_id,sai_object_id_t,入力,The MACsec Secure Channel id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_macsec_sc_attribute_fn,Set MACsec Secure Channel attribute,macsec_sc_id,sai_object_id_t,入力,The MACsec Secure Channel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_macsec_sc_attribute_fn,Get MACsec Secure Channel attribute,macsec_sc_id,sai_object_id_t,入力,MACsec Secure Channel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_macsec_sc_stats_fn,Get MACsec Secure Channel counters,macsec_sc_id,sai_object_id_t,入力,MACsec Secure Channel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_macsec_sc_stats_ext_fn,Get MACsec Secure Channel counters extended,macsec_sc_id,sai_object_id_t,入力,MACsec Secure Channel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Should match SAI_MACSEC_ATTR_STATS_MODE,
