関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_inseg_entry_fn,Create In Segment entry,inseg_entry,sai_inseg_entry_t *,入力,InSegment entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_inseg_entry_fn,Remove In Segment entry,inseg_entry,sai_inseg_entry_t *,入力,InSegment entry,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_inseg_entry_attribute_fn,Set In Segment attribute value,inseg_entry,sai_inseg_entry_t *,入力,InSegment entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_inseg_entry_attribute_fn,Get In Segment attribute value,inseg_entry,sai_inseg_entry_t *,入力,InSegment entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_bulk_create_inseg_entry_fn,Bulk create In Segment entry,object_count,uint32_t,入力,Number of objects to create,`SAI_STATUS_SUCCESS` on success when all objects are created or
,,inseg_entry,sai_inseg_entry_t *,入力,List of object to create,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_remove_inseg_entry_fn,Bulk remove In Segment entry,object_count,uint32_t,入力,Number of objects to remove,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,inseg_entry,sai_inseg_entry_t *,入力,List of objects to remove,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_set_inseg_entry_attribute_fn,Bulk set attribute on In Segment entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,inseg_entry,sai_inseg_entry_t *,入力,List of objects to set attribute,
,,attr_list,sai_attribute_t *,入力,List of attributes to set on objects, one attribute per object,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_get_inseg_entry_attribute_fn,Bulk get attribute on In Segment entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,inseg_entry,sai_inseg_entry_t *,入力,List of objects to set attribute,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

