関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_neighbor_entry_fn,Create neighbor entry,neighbor_entry,sai_neighbor_entry_t *,入力,Neighbor entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_neighbor_entry_fn,Remove neighbor entry,neighbor_entry,sai_neighbor_entry_t *,入力,Neighbor entry,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_neighbor_entry_attribute_fn,Set neighbor attribute value,neighbor_entry,sai_neighbor_entry_t *,入力,Neighbor entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_neighbor_entry_attribute_fn,Get neighbor attribute value,neighbor_entry,sai_neighbor_entry_t *,入力,Neighbor entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_remove_all_neighbor_entries_fn,Remove all neighbor entries,switch_id,sai_object_id_t,入力,Switch id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_bulk_create_neighbor_entry_fn,Bulk create Neighbor entry,object_count,uint32_t,入力,Number of objects to create,`SAI_STATUS_SUCCESS` on success when all objects are created or
,,neighbor_entry,sai_neighbor_entry_t *,入力,List of object to create,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_remove_neighbor_entry_fn,Bulk remove Neighbor entry,object_count,uint32_t,入力,Number of objects to remove,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,neighbor_entry,sai_neighbor_entry_t *,入力,List of objects to remove,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_set_neighbor_entry_attribute_fn,Bulk set attribute on Neighbor entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are set or
,,neighbor_entry,sai_neighbor_entry_t *,入力,List of objects to set attribute,
,,attr_list,sai_attribute_t *,入力,List of attributes to set on objects, one attribute per object,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_get_neighbor_entry_attribute_fn,Bulk get attribute on Neighbor entry,object_count,uint32_t,入力,Number of objects to get attribute,`SAI_STATUS_SUCCESS` on success when all objects are get or
,,neighbor_entry,sai_neighbor_entry_t *,入力,List of objects to get attribute,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

