関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_next_hop_group_fn,Create next hop group,next_hop_group_id,sai_object_id_t *,出力,Next hop group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_next_hop_group_fn,Remove next hop group,next_hop_group_id,sai_object_id_t,入力,Next hop group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_next_hop_group_attribute_fn,Set Next Hop Group attribute,next_hop_group_id,sai_object_id_t,入力,Next hop group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_next_hop_group_attribute_fn,Get Next Hop Group attribute,next_hop_group_id,sai_object_id_t,入力,Next hop group ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_next_hop_group_member_fn,Create next hop group member,next_hop_group_member_id,sai_object_id_t *,出力,Next hop group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_next_hop_group_member_fn,Remove next hop group member,next_hop_group_member_id,sai_object_id_t,入力,Next hop group member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_next_hop_group_member_attribute_fn,Set Next Hop Group member attribute,next_hop_group_member_id,sai_object_id_t,入力,Next hop group member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_next_hop_group_member_attribute_fn,Get Next Hop Group member attribute,next_hop_group_member_id,sai_object_id_t,入力,Next hop group member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_next_hop_group_map_fn,Create next hop group map,next_hop_group_map_id,sai_object_id_t *,出力,Next hop group map id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_next_hop_group_map_fn,Remove next hop group map,next_hop_group_map_id,sai_object_id_t,入力,Next hop group map ID,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_next_hop_group_map_attribute_fn,Set Next Hop Group map attribute,next_hop_group_map_id,sai_object_id_t,入力,Next hop group map ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_next_hop_group_map_attribute_fn,Get next hop group map attribute,next_hop_group_map_id,sai_object_id_t,入力,Next hop group map ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

