関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_samplepacket_fn,Create samplepacket session.,samplepacket_id,sai_object_id_t *,出力,Samplepacket session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Value of attributes,

sai_remove_samplepacket_fn,Remove samplepacket session.,samplepacket_id,sai_object_id_t,入力,Samplepacket session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different

sai_set_samplepacket_attribute_fn,Set samplepacket session attributes.,samplepacket_id,sai_object_id_t,入力,Samplepacket session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Value of attribute,

sai_get_samplepacket_attribute_fn,Get samplepacket session attributes.,samplepacket_id,sai_object_id_t,入力,Samplepacket session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

