関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_switch_asic_sdk_health_event_notification_fn,Switch health event callback,switch_id,sai_object_id_t,入力,Switch Id,
,,severity,sai_switch_asic_sdk_health_severity_t,入力,Health event severity,
,,timestamp,sai_timespec_t,入力,Time and date of receiving the SDK Health event,
,,category,sai_switch_asic_sdk_health_category_t,入力,Category of cause,
,,data,sai_switch_health_data_t,入力,Data of switch health,
,,description,sai_u8_list_t,入力,JSON-encoded description string with information delivered from SDK event/trap,

sai_switch_shutdown_request_notification_fn,Switch shutdown request callback.,switch_id,sai_object_id_t,入力,Switch Id,

sai_switch_state_change_notification_fn,Switch operational state change notification,switch_id,sai_object_id_t,入力,Switch Id,
,,switch_oper_status,sai_switch_oper_status_t,入力,New switch operational state,

sai_switch_register_read_fn,Platform specific device register read access,platform_context,uint64_t,入力,Platform context information.,
,,device_addr,uint32_t,入力,Device address(PHY/lane/port MDIO address),
,,start_reg_addr,uint32_t,入力,Starting register address to read,
,,number_of_registers,uint32_t,入力,Number of consecutive registers to read,
,,reg_val,uint32_t *,出力,Register read values,

sai_switch_register_write_fn,Platform specific device register write access,platform_context,uint64_t,入力,Platform context information.,
,,device_addr,uint32_t,入力,Device address(PHY/lane/port MDIO address),
,,start_reg_addr,uint32_t,入力,Starting register address to write,
,,number_of_registers,uint32_t,入力,Number of consecutive registers to write,
,,reg_val,uint32_t *,入力,Register write values,

sai_switch_mdio_read_fn,Switch MDIO read API,switch_id,sai_object_id_t,入力,Switch Id,
,,device_addr,uint32_t,入力,Device address(PHY/lane/port MDIO address),
,,start_reg_addr,uint32_t,入力,Starting register address to read,
,,number_of_registers,uint32_t,入力,Number of consecutive registers to read,
,,reg_val,uint32_t *,出力,Register read values,

sai_switch_mdio_write_fn,Switch MDIO write API,switch_id,sai_object_id_t,入力,Switch Id,
,,device_addr,uint32_t,入力,Device address(PHY/lane/port MDIO address),
,,start_reg_addr,uint32_t,入力,Starting register address to write,
,,number_of_registers,uint32_t,入力,Number of consecutive registers to write,
,,reg_val,uint32_t *,入力,Register write values,

sai_switch_mdio_cl22_read_fn,Switch MDIO clause 22 read API,switch_id,sai_object_id_t,入力,Switch Id,
,,device_addr,uint32_t,入力,Device address(PHY/lane/port MDIO address),
,,start_reg_addr,uint32_t,入力,Starting register address to read,
,,number_of_registers,uint32_t,入力,Number of consecutive registers to read,
,,reg_val,uint32_t *,出力,Register read values,

sai_switch_mdio_cl22_write_fn,Switch MDIO clause write API,switch_id,sai_object_id_t,入力,Switch Id,
,,device_addr,uint32_t,入力,Device address(PHY/lane/port MDIO address),
,,start_reg_addr,uint32_t,入力,Starting register address to write,
,,number_of_registers,uint32_t,入力,Number of consecutive registers to write,
,,reg_val,uint32_t *,入力,Register write values,

sai_create_switch_fn,Create switch,switch_id,sai_object_id_t *,出力,The Switch Object ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_switch_fn,Remove/disconnect Switch,switch_id,sai_object_id_t,入力,The Switch id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_switch_attribute_fn,Set switch attribute value,switch_id,sai_object_id_t,入力,Switch id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Switch attribute,

sai_get_switch_attribute_fn,Get switch attribute value,switch_id,sai_object_id_t,入力,Switch id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_switch_stats_fn,Get switch statistics counters. Deprecated for backward compatibility.,switch_id,sai_object_id_t,入力,Switch id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_switch_stats_ext_fn,Get switch statistics counters extended.,switch_id,sai_object_id_t,入力,Switch id,`SAI_STATUS_SUCCESS` on success, failure status code on error
