関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_system_port_fn,Create system port,system_port_id,sai_object_id_t *,出力,System Port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_system_port_fn,Remove system port,system_port_id,sai_object_id_t,入力,System Port id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_system_port_attribute_fn,Set system port attribute value.,system_port_id,sai_object_id_t,入力,System Port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_system_port_attribute_fn,Get system port attribute value.,system_port_id,sai_object_id_t,入力,System Port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

