関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_tunnel_map_fn,Create tunnel Map,tunnel_map_id,sai_object_id_t *,出力,Tunnel Map Id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch Id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_tunnel_map_fn,Remove tunnel Map,tunnel_map_id,sai_object_id_t,入力,Tunnel Map id to be removed,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_tunnel_map_attribute_fn,Set attributes for tunnel map,tunnel_map_id,sai_object_id_t,入力,Tunnel Map Id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_tunnel_map_attribute_fn,Get attributes of tunnel map,tunnel_map_id,sai_object_id_t,入力,Tunnel map id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_tunnel_fn,Create tunnel,tunnel_id,sai_object_id_t *,出力,Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch Id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_tunnel_fn,Remove tunnel,tunnel_id,sai_object_id_t,入力,Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_tunnel_attribute_fn,Set tunnel attribute,tunnel_id,sai_object_id_t,入力,Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_tunnel_attribute_fn,Get tunnel attributes,tunnel_id,sai_object_id_t,入力,Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_tunnel_stats_fn,Get tunnel statistics counters. Deprecated for backward compatibility.,tunnel_id,sai_object_id_t,入力,Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_tunnel_stats_ext_fn,Get tunnel statistics counters extended.,tunnel_id,sai_object_id_t,入力,Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_tunnel_stats_fn,Clear tunnel statistics counters.,tunnel_id,sai_object_id_t,入力,Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_tunnel_term_table_entry_fn,Create tunnel termination table entry,tunnel_term_table_entry_id,sai_object_id_t *,出力,Tunnel termination table entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch Id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_tunnel_term_table_entry_fn,Remove tunnel termination table entry,tunnel_term_table_entry_id,sai_object_id_t,入力,Tunnel termination table entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_tunnel_term_table_entry_attribute_fn,Set tunnel termination table entry attribute,tunnel_term_table_entry_id,sai_object_id_t,入力,Tunnel termination table entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_tunnel_term_table_entry_attribute_fn,Get tunnel termination table entry attributes,tunnel_term_table_entry_id,sai_object_id_t,入力,Tunnel termination table entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_tunnel_map_entry_fn,Create tunnel map item,tunnel_map_entry_id,sai_object_id_t *,出力,Tunnel map item id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch Id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_tunnel_map_entry_fn,Remove tunnel map item,tunnel_map_entry_id,sai_object_id_t,入力,Tunnel map item id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_tunnel_map_entry_attribute_fn,Set tunnel map item attribute,tunnel_map_entry_id,sai_object_id_t,入力,Tunnel map item id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_tunnel_map_entry_attribute_fn,Get tunnel map item attributes,tunnel_map_entry_id,sai_object_id_t,入力,Tunnel map item id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

