関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_twamp_session_fn,Create Two-Way Active Measurement Protocol session.,twamp_session_id,sai_object_id_t *,出力,Two-Way Active Measurement Protocol session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Value of attributes,

sai_remove_twamp_session_fn,Remove Two-Way Active Measurement Protocol session.,twamp_session_id,sai_object_id_t,入力,Two-Way Active Measurement Protocol session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different

sai_set_twamp_session_attribute_fn,Set Two-Way Active Measurement Protocol session attributes.,twamp_session_id,sai_object_id_t,入力,Two-Way Active Measurement Protocol session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Value of attribute,

sai_get_twamp_session_attribute_fn,Get Two-Way Active Measurement Protocol session attributes.,twamp_session_id,sai_object_id_t,入力,Two-Way Active Measurement Protocol session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_twamp_session_stats_fn,Get Two-Way Active Measurement Protocol session statistics counters.,twamp_session_id,sai_object_id_t,入力,Two-Way Active Measurement Protocol session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_twamp_session_stats_ext_fn,Get Two-Way Active Measurement Protocol session statistics counters extended.,twamp_session_id,sai_object_id_t,入力,Two-Way Active Measurement Protocol session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_twamp_session_stats_fn,Clear Two-Way Active Measurement Protocol session statistics counters.,twamp_session_id,sai_object_id_t,入力,Two-Way Active Measurement Protocol session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_twamp_session_event_notification_fn,TWAMP session notification,count,uint32_t,入力,Number of notifications,
,,data,sai_twamp_session_event_notification_data_t *,入力,Pointer to TWAMP session notification data array,

