関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_vlan_fn,Create a VLAN,vlan_id,sai_object_id_t *,出力,VLAN ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_vlan_fn,Remove VLAN,vlan_id,sai_object_id_t,入力,VLAN member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_vlan_attribute_fn,Set VLAN Attribute,vlan_id,sai_object_id_t,入力,VLAN ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute structure containing ID and value,

sai_get_vlan_attribute_fn,Get VLAN Attribute,vlan_id,sai_object_id_t,入力,VLAN ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_vlan_member_fn,Create VLAN Member,vlan_member_id,sai_object_id_t *,出力,VLAN member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_vlan_member_fn,Remove VLAN Member,vlan_member_id,sai_object_id_t,入力,VLAN member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_vlan_member_attribute_fn,Set VLAN Member Attribute,vlan_member_id,sai_object_id_t,入力,VLAN member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute structure containing ID and value,

sai_get_vlan_member_attribute_fn,Get VLAN Member Attribute,vlan_member_id,sai_object_id_t,入力,VLAN member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_vlan_stats_fn,Get vlan statistics counters. Deprecated for backward compatibility.,vlan_id,sai_object_id_t,入力,VLAN id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_vlan_stats_ext_fn,Get vlan statistics counters extended.,vlan_id,sai_object_id_t,入力,VLAN id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_vlan_stats_fn,Clear vlan statistics counters.,vlan_id,sai_object_id_t,入力,Vlan id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

