関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_wred_fn,Create WRED Profile,wred_id,sai_object_id_t *,出力,WRED profile Id.,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch Id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_wred_fn,Remove WRED Profile,wred_id,sai_object_id_t,入力,WRED profile Id.,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_wred_attribute_fn,Set attributes to WRED profile.,wred_id,sai_object_id_t,入力,WRED profile Id.,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_wred_attribute_fn,Get WRED profile attribute,wred_id,sai_object_id_t,入力,WRED Profile Id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

