Object Type,Attribute Name,Brief,Type,Flags,Objects,Default
"acl_table_group","SAI_ACL_TABLE_GROUP_ATTR_START","ACL stage","sai_acl_stage_t","MANDATORY_ON_CREATE | CREATE_ONLY","",""
"","SAI_ACL_TABLE_GROUP_ATTR_ACL_STAGE","List of ACL bind points where this group will be applied.","sai_s32_list_t sai_acl_bind_point_type_t","CREATE_ONLY","","empty"
"","SAI_ACL_TABLE_GROUP_ATTR_ACL_BIND_POINT_TYPE_LIST","ACL table group type","sai_acl_table_group_type_t","CREATE_ONLY","","SAI_ACL_TABLE_GROUP_TYPE_SEQUENTIAL"
"","SAI_ACL_TABLE_GROUP_ATTR_TYPE","ACL table group members associated with this group.","sai_object_list_t","READ_ONLY","SAI_OBJECT_TYPE_ACL_TABLE_GROUP_MEMBER",""
"","SAI_ACL_TABLE_GROUP_ATTR_MEMBER_LIST","ACL table sub groups associated with this group.","sai_object_list_t","READ_ONLY","SAI_OBJECT_TYPE_ACL_TABLE_CHAIN_GROUP",""
"","SAI_ACL_TABLE_GROUP_ATTR_CHAIN_GROUP_LIST","End of attributes","","","",""
"","SAI_ACL_TABLE_GROUP_ATTR_END","Custom range base value start","","","",""
"","SAI_ACL_TABLE_GROUP_ATTR_CUSTOM_RANGE_START","End of Custom range base","","","",""
"","SAI_ACL_TABLE_GROUP_ATTR_CUSTOM_RANGE_END","","","","",""
"acl_table_chain_group","SAI_ACL_TABLE_CHAIN_GROUP_ATTR_START","ACL table sub group type","sai_acl_table_chain_group_type_t","CREATE_ONLY","","SAI_ACL_TABLE_CHAIN_GROUP_TYPE_SEQUENTIAL"
"","SAI_ACL_TABLE_CHAIN_GROUP_ATTR_TYPE","ACL table sub group stage","sai_acl_table_chain_group_stage_t","CREATE_ONLY","","SAI_ACL_TABLE_CHAIN_GROUP_STAGE_0"
"","SAI_ACL_TABLE_CHAIN_GROUP_ATTR_STAGE","End of attributes","","","",""
"","SAI_ACL_TABLE_CHAIN_GROUP_ATTR_END","Custom range base value start","","","",""
"","SAI_ACL_TABLE_CHAIN_GROUP_ATTR_CUSTOM_RANGE_START","End of Custom range base","","","",""
"","SAI_ACL_TABLE_CHAIN_GROUP_ATTR_CUSTOM_RANGE_END","","","","",""
"acl_table_group_member","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_START","ACL table group id","sai_object_id_t","MANDATORY_ON_CREATE | CREATE_ONLY","SAI_OBJECT_TYPE_ACL_TABLE_GROUP",""
"","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_ACL_TABLE_GROUP_ID","ACL table id","sai_object_id_t","MANDATORY_ON_CREATE | CREATE_ONLY","SAI_OBJECT_TYPE_ACL_TABLE",""
"","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_ACL_TABLE_ID","Priority","","","",""
"","SAI_SWITCH_ATTR_ACL_TABLE_MINIMUM_PRIORITY","","","","",""
"","SAI_SWITCH_ATTR_ACL_TABLE_MAXIMUM_PRIORITY","","sai_uint32_t","MANDATORY_ON_CREATE | CREATE_ONLY","",""
"","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_PRIORITY","ACL table chain group id","sai_object_id_t","CREATE_AND_SET","SAI_OBJECT_TYPE_ACL_TABLE_CHAIN_GROUP","SAI_NULL_OBJECT_ID"
"","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_ACL_TABLE_CHAIN_GROUP_ID","End of attributes","","","",""
"","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_END","Custom range base value start","","","",""
"","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_CUSTOM_RANGE_START","End of Custom range base","","","",""
"","SAI_ACL_TABLE_GROUP_MEMBER_ATTR_CUSTOM_RANGE_END","","","","",""
"acl_table","SAI_ACL_TABLE_ATTR_START","ACL stage","sai_acl_stage_t","MANDATORY_ON_CREATE | CREATE_ONLY","",""
"","SAI_ACL_TABLE_ATTR_ACL_STAGE","List of ACL bind point where this ACL can be applied","","","",""
"","SAI_ACL_TABLE_ATTR_AVAILABLE_ACL_ENTRY","","","","",""
"","SAI_ACL_TABLE_ATTR_AVAILABLE_ACL_COUNTER","","sai_s32_list_t sai_acl_bind_point_type_t","CREATE_ONLY","","empty"
"","SAI_ACL_TABLE_ATTR_ACL_BIND_POINT_TYPE_LIST","Table size","","","",""
"","SAI_ACL_TABLE_ATTR_SIZE","","sai_uint32_t","CREATE_ONLY","","0"
"","SAI_ACL_TABLE_ATTR_SIZE","List of actions in sai_acl_action_type_t","","","",""
"","SAI_SWITCH_ATTR_ACL_STAGE_INGRESS","","sai_s32_list_t sai_acl_action_type_t","CREATE_ONLY","","empty"
"","SAI_ACL_TABLE_ATTR_ACL_ACTION_TYPE_LIST","Start of Table Match Field","","","",""
"","SAI_ACL_TABLE_ATTR_FIELD_START","Src IPv6 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6","Src IPv6 Address 127:96 32 bits","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD3","Src IPv6 Address 95:64 32 bits","bool","CREATE_ONLY","","false"
