関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_acl_table_fn,Create an ACL table,acl_table_id,sai_object_id_t *,出力,The ACL table id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_acl_table_fn,Delete an ACL table,acl_table_id,sai_object_id_t,入力,The ACL table id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_acl_table_attribute_fn,Set ACL table attribute,acl_table_id,sai_object_id_t,入力,The ACL table id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_acl_table_attribute_fn,Get ACL table attribute,acl_table_id,sai_object_id_t,入力,ACL table id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_acl_entry_fn,Create an ACL entry,acl_entry_id,sai_object_id_t *,出力,The ACL entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The Switch Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_acl_entry_fn,Delete an ACL entry,acl_entry_id,sai_object_id_t,入力,The ACL entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_acl_entry_attribute_fn,Set ACL entry attribute,acl_entry_id,sai_object_id_t,入力,The ACL entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_acl_entry_attribute_fn,Get ACL entry attribute,acl_entry_id,sai_object_id_t,入力,ACL entry id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_acl_counter_fn,Create an ACL counter,acl_counter_id,sai_object_id_t *,出力,The ACL counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The switch Object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_acl_counter_fn,Delete an ACL counter,acl_counter_id,sai_object_id_t,入力,The ACL counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_acl_counter_attribute_fn,Set ACL counter attribute,acl_counter_id,sai_object_id_t,入力,The ACL counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_acl_counter_attribute_fn,Get ACL counter attribute,acl_counter_id,sai_object_id_t,入力,ACL counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_acl_range_fn,Create an ACL Range,acl_range_id,sai_object_id_t *,出力,The ACL range id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,The Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_acl_range_fn,Remove an ACL Range,acl_range_id,sai_object_id_t,入力,The ACL range id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_acl_range_attribute_fn,Set ACL range attribute,acl_range_id,sai_object_id_t,入力,The ACL range id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_acl_range_attribute_fn,Get ACL range attribute,acl_range_id,sai_object_id_t,入力,ACL range id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_acl_table_group_fn,Create an ACL Table Group,acl_table_group_id,sai_object_id_t *,出力,The ACL group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_acl_table_group_fn,Delete an ACL Group,acl_table_group_id,sai_object_id_t,入力,The ACL group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_acl_table_group_attribute_fn,Set ACL table group attribute,acl_table_group_id,sai_object_id_t,入力,The ACL table group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_acl_table_group_attribute_fn,Get ACL table group attribute,acl_table_group_id,sai_object_id_t,入力,ACL table group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_acl_table_group_member_fn,Create an ACL Table Group Member,acl_table_group_member_id,sai_object_id_t *,出力,The ACL table group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_acl_table_group_member_fn,Delete an ACL Group Member,acl_table_group_member_id,sai_object_id_t,入力,The ACL table group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_acl_table_group_member_attribute_fn,Set ACL table group member attribute,acl_table_group_member_id,sai_object_id_t,入力,The ACL table group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_acl_table_group_member_attribute_fn,Get ACL table group member attribute,acl_table_group_member_id,sai_object_id_t,入力,ACL table group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_acl_table_chain_group_fn,Create an ACL Table Chain Group,acl_table_chain_group_id,sai_object_id_t *,出力,The ACL sub group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_acl_table_chain_group_fn,Delete an ACL Table Chain Group,acl_table_chain_group_id,sai_object_id_t,入力,The ACL chain_group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_acl_table_chain_group_attribute_fn,Set ACL table chain group attribute,acl_table_chain_group_id,sai_object_id_t,入力,The ACL table chain_group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_acl_table_chain_group_attribute_fn,Get ACL table chain group attribute,acl_table_chain_group_id,sai_object_id_t,入力,ACL table chain_group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

