関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_bfd_session_fn,Create BFD session.,bfd_session_id,sai_object_id_t *,出力,BFD session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Value of attributes,

sai_remove_bfd_session_fn,Remove BFD session.,bfd_session_id,sai_object_id_t,入力,BFD session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different

sai_set_bfd_session_attribute_fn,Set BFD session attributes.,bfd_session_id,sai_object_id_t,入力,BFD session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Value of attribute,

sai_get_bfd_session_attribute_fn,Get BFD session attributes.,bfd_session_id,sai_object_id_t,入力,BFD session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_bfd_session_stats_fn,Get BFD session statistics counters. Deprecated for backward compatibility.,bfd_session_id,sai_object_id_t,入力,BFD session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_bfd_session_stats_ext_fn,Get BFD session statistics counters extended.,bfd_session_id,sai_object_id_t,入力,BFD session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_bfd_session_stats_fn,Clear BFD session statistics counters.,bfd_session_id,sai_object_id_t,入力,BFD session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_bfd_session_state_change_notification_fn,BFD session state change notification,count,uint32_t,入力,Number of notifications,
,,data,sai_bfd_session_state_notification_t *,入力,Array of BFD session state,

