関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_bridge_port_fn,Create bridge port,bridge_port_id,sai_object_id_t *,出力,Bridge port ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_bridge_port_fn,Remove bridge port,bridge_port_id,sai_object_id_t,入力,Bridge port ID,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_bridge_port_attribute_fn,Set attribute for bridge port,bridge_port_id,sai_object_id_t,入力,Bridge port ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_bridge_port_attribute_fn,Get attributes of bridge port,bridge_port_id,sai_object_id_t,入力,Bridge port ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_bridge_port_stats_fn,Get bridge port statistics counters. Deprecated for backward compatibility.,bridge_port_id,sai_object_id_t,入力,Bridge port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_bridge_port_stats_ext_fn,Get bridge port statistics counters extended.,bridge_port_id,sai_object_id_t,入力,Bridge port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_bridge_port_stats_fn,Clear bridge port statistics counters.,bridge_port_id,sai_object_id_t,入力,Bridge port id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_bridge_fn,Create bridge,bridge_id,sai_object_id_t *,出力,Bridge ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_bridge_fn,Remove bridge,bridge_id,sai_object_id_t,入力,Bridge ID,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_bridge_attribute_fn,Set attribute for bridge,bridge_id,sai_object_id_t,入力,Bridge ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_bridge_attribute_fn,Get attributes of bridge,bridge_id,sai_object_id_t,入力,Bridge ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_bridge_stats_fn,Get bridge statistics counters. Deprecated for backward compatibility.,bridge_id,sai_object_id_t,入力,Bridge id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_bridge_stats_ext_fn,Get bridge statistics counters extended.,bridge_id,sai_object_id_t,入力,Bridge id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_bridge_stats_fn,Clear bridge statistics counters.,bridge_id,sai_object_id_t,入力,Bridge id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

