関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_icmp_echo_session_fn,Create ICMP_ECHO session.,icmp_echo_session_id,sai_object_id_t *,出力,ICMP_ECHO session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Value of attributes,

sai_remove_icmp_echo_session_fn,Remove ICMP_ECHO session.,icmp_echo_session_id,sai_object_id_t,入力,ICMP_ECHO session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different

sai_set_icmp_echo_session_attribute_fn,Set ICMP_ECHO session attributes.,icmp_echo_session_id,sai_object_id_t,入力,ICMP_ECHO session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Value of attribute,

sai_get_icmp_echo_session_attribute_fn,Get ICMP_ECHO session attributes.,icmp_echo_session_id,sai_object_id_t,入力,ICMP_ECHO session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_icmp_echo_session_stats_fn,Get ICMP_ECHO session statistics counters. Deprecated for backward compatibility.,icmp_echo_session_id,sai_object_id_t,入力,ICMP_ECHO session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_icmp_echo_session_stats_ext_fn,Get ICMP_ECHO session statistics counters extended.,icmp_echo_session_id,sai_object_id_t,入力,ICMP_ECHO session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_icmp_echo_session_stats_fn,Clear ICMP_ECHO session statistics counters.,icmp_echo_session_id,sai_object_id_t,入力,ICMP_ECHO session id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_icmp_echo_session_state_change_notification_fn,ICMP_ECHO session state change notification,count,uint32_t,入力,Number of notifications,
,,data,sai_icmp_echo_session_state_notification_t *,入力,Array of ICMP_ECHO session state,

