関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_ipmc_group_fn,Create IPMC group,ipmc_group_id,sai_object_id_t *,出力,IPMC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_ipmc_group_fn,Remove IPMC group,ipmc_group_id,sai_object_id_t,入力,IPMC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_ipmc_group_attribute_fn,Set IPMC Group attribute,ipmc_group_id,sai_object_id_t,入力,IPMC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_ipmc_group_attribute_fn,Get IPMC Group attribute,ipmc_group_id,sai_object_id_t,入力,IPMC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_ipmc_group_member_fn,Create IPMC group member,ipmc_group_member_id,sai_object_id_t *,出力,IPMC group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_ipmc_group_member_fn,Remove IPMC group member,ipmc_group_member_id,sai_object_id_t,入力,IPMC group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_ipmc_group_member_attribute_fn,Set IPMC Group attribute,ipmc_group_member_id,sai_object_id_t,入力,IPMC group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_ipmc_group_member_attribute_fn,Get IPMC Group attribute,ipmc_group_member_id,sai_object_id_t,入力,IPMC group member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

