関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_l2mc_entry_fn,Create L2MC entry,l2mc_entry,sai_l2mc_entry_t *,入力,L2MC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_l2mc_entry_fn,Remove L2MC entry,l2mc_entry,sai_l2mc_entry_t *,入力,L2MC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_l2mc_entry_attribute_fn,Set L2MC entry attribute value,l2mc_entry,sai_l2mc_entry_t *,入力,L2MC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_l2mc_entry_attribute_fn,Get L2MC entry attribute value,l2mc_entry,sai_l2mc_entry_t *,入力,L2MC entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

