関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_l2mc_group_fn,Create L2MC group,l2mc_group_id,sai_object_id_t *,出力,L2MC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_l2mc_group_fn,Remove L2MC group,l2mc_group_id,sai_object_id_t,入力,L2MC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_l2mc_group_attribute_fn,Set L2MC Group attribute,l2mc_group_id,sai_object_id_t,入力,L2MC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_l2mc_group_attribute_fn,Get L2MC Group attribute,l2mc_group_id,sai_object_id_t,入力,L2MC group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_l2mc_group_member_fn,Create L2MC group member,l2mc_group_member_id,sai_object_id_t *,出力,L2MC group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_l2mc_group_member_fn,Remove L2MC group member,l2mc_group_member_id,sai_object_id_t,入力,L2MC group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_l2mc_group_member_attribute_fn,Set L2MC Group attribute,l2mc_group_member_id,sai_object_id_t,入力,L2MC group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_l2mc_group_member_attribute_fn,Get L2MC Group attribute,l2mc_group_member_id,sai_object_id_t,入力,L2MC group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

