関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_lag_fn,Create LAG,lag_id,sai_object_id_t *,出力,LAG id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_lag_fn,Remove LAG,lag_id,sai_object_id_t,入力,LAG id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_lag_attribute_fn,Set LAG Attribute,lag_id,sai_object_id_t,入力,LAG id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Structure containing ID and value to be set,

sai_get_lag_attribute_fn,Get LAG Attribute,lag_id,sai_object_id_t,入力,LAG id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes to be get,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_lag_member_fn,Create LAG Member,lag_member_id,sai_object_id_t *,出力,LAG Member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_lag_member_fn,Remove LAG Member,lag_member_id,sai_object_id_t,入力,LAG Member id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_lag_member_attribute_fn,Set LAG Member Attribute,lag_member_id,sai_object_id_t,入力,LAG Member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Structure containing ID and value to be set,

sai_get_lag_member_attribute_fn,Get LAG Member Attribute,lag_member_id,sai_object_id_t,入力,LAG Member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes to be get,
,,attr_list,sai_attribute_t *,入力/出力,-,

