関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_mcast_fdb_entry_fn,Create Multicast FDB entry,mcast_fdb_entry,sai_mcast_fdb_entry_t *,入力,FDB entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_mcast_fdb_entry_fn,Remove Multicast FDB entry,mcast_fdb_entry,sai_mcast_fdb_entry_t *,入力,FDB entry,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_mcast_fdb_entry_attribute_fn,Set multicast FDB entry attribute value,mcast_fdb_entry,sai_mcast_fdb_entry_t *,入力,FDB entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_mcast_fdb_entry_attribute_fn,Get FDB entry attribute value,mcast_fdb_entry,sai_mcast_fdb_entry_t *,入力,FDB entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

