関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_mirror_session_fn,Create mirror session.,mirror_session_id,sai_object_id_t *,出力,Port mirror session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Value of attributes,

sai_remove_mirror_session_fn,Remove mirror session.,mirror_session_id,sai_object_id_t,入力,Port mirror session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different

sai_set_mirror_session_attribute_fn,Set mirror session attributes.,mirror_session_id,sai_object_id_t,入力,Port mirror session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Value of attribute,

sai_get_mirror_session_attribute_fn,Get mirror session attributes.,mirror_session_id,sai_object_id_t,入力,Port mirror session id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

