関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_nat_entry_fn,Create and return a NAT object,nat_entry,sai_nat_entry_t *,入力,NAT entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_nat_entry_fn,Remove NAT entry,nat_entry,sai_nat_entry_t *,入力,NAT entry to be removed.,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_nat_entry_attribute_fn,Set NAT entry attribute value(s).,nat_entry,sai_nat_entry_t *,入力,NAT entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_nat_entry_attribute_fn,Get values for specified NAT entry attributes.,nat_entry,sai_nat_entry_t *,入力,NAT entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_nat_event_notification_fn,NAT notifications,count,uint32_t,入力,Number of notifications,
,,data,sai_nat_event_notification_data_t *,入力,Pointer to NAT event notification data array,

sai_bulk_create_nat_entry_fn,Bulk create NAT entry,object_count,uint32_t,入力,Number of objects to create,`SAI_STATUS_SUCCESS` on success when all objects are created or
,,nat_entry,sai_nat_entry_t *,入力,List of object to create,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_remove_nat_entry_fn,Bulk remove NAT entry,object_count,uint32_t,入力,Number of objects to remove,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,nat_entry,sai_nat_entry_t *,入力,List of objects to remove,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_set_nat_entry_attribute_fn,Bulk set attribute on NAT entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,nat_entry,sai_nat_entry_t *,入力,List of objects to set attribute,
,,attr_list,sai_attribute_t *,入力,List of attributes to set on objects, one attribute per object,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_get_nat_entry_attribute_fn,Bulk get attribute on NAT entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,nat_entry,sai_nat_entry_t *,入力,List of objects to set attribute,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_create_nat_zone_counter_fn,Create and return a NAT zone counter object,nat_zone_counter_id,sai_object_id_t *,出力,NAT counter object,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch object id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_nat_zone_counter_fn,Deletes a specified NAT zone_counter object.,nat_zone_counter_id,sai_object_id_t,入力,NAT object to be removed.,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_nat_zone_counter_attribute_fn,Set NAT zone counter attribute value(s).,nat_zone_counter_id,sai_object_id_t,入力,NAT zone counter id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_nat_zone_counter_attribute_fn,Get values for specified NAT zone counter attributes.,nat_zone_counter_id,sai_object_id_t,入力,NAT counter zone object id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

