関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_next_hop_fn,Create next hop,next_hop_id,sai_object_id_t *,出力,Next hop id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_next_hop_fn,Remove next hop,next_hop_id,sai_object_id_t,入力,Next hop id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_next_hop_attribute_fn,Set Next Hop attribute,next_hop_id,sai_object_id_t,入力,Next hop id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_next_hop_attribute_fn,Get Next Hop attribute,next_hop_id,sai_object_id_t,入力,Next hop id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

