関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_poe_device_fn,Create a POE device instance,poe_device_id,sai_object_id_t *,出力,POE device ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Count,
,,attr_list,sai_attribute_t *,入力,Attribute list values,

sai_remove_poe_device_fn,Remove POE device instance.,poe_device_id,sai_object_id_t,入力,POE device ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different

sai_set_poe_device_attribute_fn,Set the attribute of POE instance.,poe_device_id,sai_object_id_t,入力,POE device ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Attribute value,

sai_get_poe_device_attribute_fn,Get the attribute of POE instance.,poe_device_id,sai_object_id_t,入力,POE device ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Number of the attribute,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_poe_pse_fn,Create a POE PSE instance,poe_pse_id,sai_object_id_t *,出力,POE PSE ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Count,
,,attr_list,sai_attribute_t *,入力,Attribute list values,

sai_remove_poe_pse_fn,Remove POE device PSE.,poe_pse_id,sai_object_id_t,入力,POE PSE ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different

sai_set_poe_pse_attribute_fn,Set the attribute of POE PSE.,poe_pse_id,sai_object_id_t,入力,POE PSE ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Attribute value,

sai_get_poe_pse_attribute_fn,Get the attribute of POE PSE.,poe_pse_id,sai_object_id_t,入力,POE PSE ID,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Number of the attribute,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_poe_port_fn,Create POE port object,poe_port_id,sai_object_id_t *,出力,POE port id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of the attribute,
,,attr_list,sai_attribute_t *,入力,Value of attributes,

sai_remove_poe_port_fn,Remove POE port,poe_port_id,sai_object_id_t,入力,POE port id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_poe_port_attribute_fn,Set the attribute of POE port.,poe_port_id,sai_object_id_t,入力,POE port id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr,sai_attribute_t *,入力,Attribute value,

sai_get_poe_port_attribute_fn,Get the attribute of POE port.,poe_port_id,sai_object_id_t,入力,POE port id,`SAI_STATUS_SUCCESS` if operation is successful otherwise a different
,,attr_count,uint32_t,入力,Attribute count,
,,attr_list,sai_attribute_t *,入力/出力,-,

