関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_qos_map_fn,Create QOS Map,qos_map_id,sai_object_id_t *,出力,QOS Map Id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_qos_map_fn,Remove QOS Map,qos_map_id,sai_object_id_t,入力,QOS Map id to be removed.,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_qos_map_attribute_fn,Set attributes for QOS map,qos_map_id,sai_object_id_t,入力,QOS Map Id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_qos_map_attribute_fn,Get attributes of QOS map,qos_map_id,sai_object_id_t,入力,Map id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

