関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_queue_fn,Create queue,queue_id,sai_object_id_t *,出力,Queue id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_queue_fn,Remove queue,queue_id,sai_object_id_t,入力,Queue id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_queue_attribute_fn,Set attribute to Queue,queue_id,sai_object_id_t,入力,Queue ID to set the attribute,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_queue_attribute_fn,Get attribute to Queue,queue_id,sai_object_id_t,入力,Queue id to set the attribute,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_queue_stats_fn,Get queue statistics counters. Deprecated for backward compatibility.,queue_id,sai_object_id_t,入力,Queue id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_queue_stats_ext_fn,Get queue statistics counters extended.,queue_id,sai_object_id_t,入力,Queue id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_queue_stats_fn,Clear queue statistics counters.,queue_id,sai_object_id_t,入力,Queue id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_queue_pfc_deadlock_notification_fn,Queue PFC deadlock event notification,count,uint32_t,入力,Number of notifications,
,,data,sai_queue_deadlock_notification_data_t *,入力,Array of queue event types,

