関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_route_entry_fn,Create Route,route_entry,sai_route_entry_t *,入力,Route entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_route_entry_fn,Remove Route,route_entry,sai_route_entry_t *,入力,Route entry,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_route_entry_attribute_fn,Set route attribute value,route_entry,sai_route_entry_t *,入力,Route entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_route_entry_attribute_fn,Get route attribute value,route_entry,sai_route_entry_t *,入力,Route entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_bulk_create_route_entry_fn,Bulk create route entry,object_count,uint32_t,入力,Number of objects to create,`SAI_STATUS_SUCCESS` on success when all objects are created or
,,route_entry,sai_route_entry_t *,入力,List of object to create,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_remove_route_entry_fn,Bulk remove route entry,object_count,uint32_t,入力,Number of objects to remove,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,route_entry,sai_route_entry_t *,入力,List of objects to remove,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_set_route_entry_attribute_fn,Bulk set attribute on route entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,route_entry,sai_route_entry_t *,入力,List of objects to set attribute,
,,attr_list,sai_attribute_t *,入力,List of attributes to set on objects, one attribute per object,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_get_route_entry_attribute_fn,Bulk get attribute on route entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,route_entry,sai_route_entry_t *,入力,List of objects to set attribute,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

