関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_rpf_group_fn,Create RPF interface group,rpf_group_id,sai_object_id_t *,出力,RPF interface group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_rpf_group_fn,Remove RPF interface group,rpf_group_id,sai_object_id_t,入力,RPF interface group id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_rpf_group_attribute_fn,Set RPF interface Group attribute,rpf_group_id,sai_object_id_t,入力,RPF interface group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_rpf_group_attribute_fn,Get RPF interface Group attribute,rpf_group_id,sai_object_id_t,入力,RPF interface group id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_create_rpf_group_member_fn,Create RPF interface group member,rpf_group_member_id,sai_object_id_t *,出力,RPF interface group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch ID,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_rpf_group_member_fn,Remove RPF interface group member,rpf_group_member_id,sai_object_id_t,入力,RPF interface group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_rpf_group_member_attribute_fn,Set RPF interface Group attribute,rpf_group_member_id,sai_object_id_t,入力,RPF interface group member id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_rpf_group_member_attribute_fn,Get RPF interface Group attribute,rpf_group_member_id,sai_object_id_t,入力,RPF group member ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

