関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_scheduler_fn,Create Scheduler Profile,scheduler_id,sai_object_id_t *,出力,Scheduler id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_scheduler_fn,Remove Scheduler profile,scheduler_id,sai_object_id_t,入力,Scheduler id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_scheduler_attribute_fn,Set Scheduler Attribute,scheduler_id,sai_object_id_t,入力,Scheduler id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute to set,

sai_get_scheduler_attribute_fn,Get Scheduler attribute,scheduler_id,sai_object_id_t,入力,Scheduler id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

