関数名,概要,引数名,型,入力/出力,説明,戻り値
sai_create_srv6_sidlist_fn,Create Segment ID List,srv6_sidlist_id,sai_object_id_t *,出力,Segment ID List ID,`SAI_STATUS_SUCCESS` on success Failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_srv6_sidlist_fn,Remove Segment ID List,srv6_sidlist_id,sai_object_id_t,入力,Segment ID List ID,`SAI_STATUS_SUCCESS` on success Failure status code on error

sai_set_srv6_sidlist_attribute_fn,Set Segment ID List attribute value,srv6_sidlist_id,sai_object_id_t,入力,Segment ID List ID,`SAI_STATUS_SUCCESS` on success Failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_srv6_sidlist_attribute_fn,Get Segment ID List attribute value,srv6_sidlist_id,sai_object_id_t,入力,Segment ID List ID,`SAI_STATUS_SUCCESS` on success Failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_get_srv6_sidlist_stats_fn,Get SRV6 SID List statistics counters. Deprecated for backward compatibility.,srv6_sidlist_id,sai_object_id_t,入力,SRV6 SID List id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_get_srv6_sidlist_stats_ext_fn,Get SRV6 SID List statistics counters extended.,srv6_sidlist_id,sai_object_id_t,入力,SRV6 SID List id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_srv6_sidlist_stats_fn,Clear SRV6 SID List statistics counters.,srv6_sidlist_id,sai_object_id_t,入力,SRV6 SID List id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_my_sid_entry_fn,Create My SID entry,my_sid_entry,sai_my_sid_entry_t *,入力,My SID entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_my_sid_entry_fn,Remove My SID entry,my_sid_entry,sai_my_sid_entry_t *,入力,My SID entry,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_my_sid_entry_attribute_fn,Set My SID attribute value,my_sid_entry,sai_my_sid_entry_t *,入力,My SID entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Attribute,

sai_get_my_sid_entry_attribute_fn,My SID attribute value,my_sid_entry,sai_my_sid_entry_t *,入力,My SID entry,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

sai_bulk_create_my_sid_entry_fn,Bulk create My SID entries,object_count,uint32_t,入力,Number of objects to create,`SAI_STATUS_SUCCESS` on success when all objects are created or
,,my_sid_entry,sai_my_sid_entry_t *,入力,List of object to create,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_remove_my_sid_entry_fn,Bulk remove My SID entries,object_count,uint32_t,入力,Number of objects to remove,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,my_sid_entry,sai_my_sid_entry_t *,入力,List of objects to remove,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_set_my_sid_entry_attribute_fn,Bulk set attribute on My SID entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,my_sid_entry,sai_my_sid_entry_t *,入力,List of objects to set attribute,
,,attr_list,sai_attribute_t *,入力,List of attributes to set on objects, one attribute per object,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode.,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

sai_bulk_get_my_sid_entry_attribute_fn,Bulk get attribute on My SID entry,object_count,uint32_t,入力,Number of objects to set attribute,`SAI_STATUS_SUCCESS` on success when all objects are removed or
,,my_sid_entry,sai_my_sid_entry_t *,入力,List of objects to set attribute,
,,attr_count,uint32_t *,入力,List of attr_count. Caller passes the number,
,,*attr_list,sai_attribute_t *,入力/出力,-,
,,mode,sai_bulk_op_error_mode_t,入力,Bulk operation error handling mode,
,,object_statuses,sai_status_t *,出力,List of status for every object. Caller needs to,

